GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD03,"Margin of Error; Total: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD04,Estimate; Total: - Construction
HD02_VD04,Margin of Error; Total: - Construction
HD01_VD05,Estimate; Total: - Manufacturing
HD02_VD05,Margin of Error; Total: - Manufacturing
HD01_VD06,Estimate; Total: - Wholesale trade
HD02_VD06,Margin of Error; Total: - Wholesale trade
HD01_VD07,Estimate; Total: - Retail trade
HD02_VD07,Margin of Error; Total: - Retail trade
HD01_VD08,"Estimate; Total: - Transportation and warehousing, and utilities"
HD02_VD08,"Margin of Error; Total: - Transportation and warehousing, and utilities"
HD01_VD09,Estimate; Total: - Information
HD02_VD09,Margin of Error; Total: - Information
HD01_VD10,"Estimate; Total: - Finance and insurance, and real estate and rental and leasing"
HD02_VD10,"Margin of Error; Total: - Finance and insurance, and real estate and rental and leasing"
HD01_VD11,"Estimate; Total: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD11,"Margin of Error; Total: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD12,"Estimate; Total: - Educational services, and health care and social assistance"
HD02_VD12,"Margin of Error; Total: - Educational services, and health care and social assistance"
HD01_VD13,"Estimate; Total: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD13,"Margin of Error; Total: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD14,"Estimate; Total: - Other services, except public administration"
HD02_VD14,"Margin of Error; Total: - Other services, except public administration"
HD01_VD15,Estimate; Total: - Public administration
HD02_VD15,Margin of Error; Total: - Public administration
HD01_VD16,"Estimate; Total: - Management, business, science, and arts occupations:"
HD02_VD16,"Margin of Error; Total: - Management, business, science, and arts occupations:"
HD01_VD17,"Estimate; Total: - Management, business, science, and arts occupations: - Agriculture, forestry, fishing and hunting, and mining"
HD02_VD17,"Margin of Error; Total: - Management, business, science, and arts occupations: - Agriculture, forestry, fishing and hunting, and mining"
HD01_VD18,"Estimate; Total: - Management, business, science, and arts occupations: - Construction"
HD02_VD18,"Margin of Error; Total: - Management, business, science, and arts occupations: - Construction"
HD01_VD19,"Estimate; Total: - Management, business, science, and arts occupations: - Manufacturing"
